location,time_posted,Mileage,Vehicle_color,Price,Vehicle_condition,engine_size,year,gearbox,brand,model,car_body,fuel,Puissance Fiscale
Tunis,16 hours ago,100000.0,Noir,95000.0,Avec kilométrage,1.4,2019.0,Automatique,Volkswagen,Passat CC,Berline,Essence,8.0
La Manouba,16 hours ago,90000.0,Gris,23000.0,Avec kilométrage,1.2,2008.0,Manuelle,Citroen,C4,Utilitaire,Essence,6.0
Ariana,16 hours ago,45000.0,Noir,295000.0,Avec kilométrage,2.0,2022.0,Automatique,Audi,Q5,4 x 4,Hybride essence,17.0
Ariana,16 hours ago,60000.0,Noir,89500.0,Avec kilométrage,1.2,2020.0,Automatique,Audi,A3,Berline,Essence,6.0
Tunis,16 hours ago,73000.0,Autre,248000.0,Avec kilométrage,2.0,2020.0,Automatique,BMW,X4,4 x 4,Essence,10.0
Tunis,16 hours ago,85000.0,Noir,184000.0,Avec kilométrage,1.5,2021.0,Automatique,Mercedes-Benz,Classe GLA,4 x 4,Hybride,8.0
Tunis,16 hours ago,90000.0,Beige,118000.0,Avec kilométrage,2.0,2010.0,Automatique,Toyota,Prado,4 x 4,Diesel,11.0
Tunis,16 hours ago,40000.0,Noir,375000.0,Avec kilométrage,3.0,2020.0,Automatique,Porsche,Cayenne,4 x 4,Essence,25.0
Tunis,16 hours ago,50000.0,Blanc,175000.0,Avec kilométrage,1.6,2021.0,Automatique,Audi,Q3,4 x 4,Hybride,8.0
Tunis,16 hours ago,54000.0,Blanc,124000.0,Avec kilométrage,1.5,2018.0,Automatique,Mercedes-Benz,Classe A,Berline,Essence,9.0
Tunis,16 hours ago,100000.0,Noir,220000.0,Avec kilométrage,2.0,2016.0,Automatique,Mercedes-Benz,Classe GLC,4 x 4,Essence,13.0
Ariana,16 hours ago,155000.0,Noir,58000.0,Avec kilométrage,1.4,2018.0,Automatique,Volkswagen,Passat,Berline,Essence,7.0
Sousse,16 hours ago,250000.0,Rouge,12500.0,Avec kilométrage,1.4,1997.0,Manuelle,Opel,Astra,Compacte,Diesel,7.0
Tunis,16 hours ago,70000.0,Orange,27000.0,Pièces manquantes,1.5,2018.0,Manuelle,Haval,H6,Autres,Essence,6.0
Ariana,16 hours ago,158000.0,Blanc,111141.0,Avec kilométrage,1.2,2012.0,Manuelle,Volkswagen,Polo,Compacte,Essence,5.0
Bizerte,17 hours ago,74000.0,Rouge,31000.0,Avec kilométrage,1.2,2018.0,Manuelle,Peugeot,208,Berline,Essence,5.0
Tunis,17 hours ago,111111.0,Marron,26500.0,Avec kilométrage,1.2,2015.0,Manuelle,Peugeot,208,Compacte,Essence,5.0
Ben Arous,17 hours ago,350000.0,Gris,22000.0,Avec kilométrage,1.4,2010.0,Manuelle,Peugeot,207,Compacte,Diesel,4.0
Tunis,17 hours ago,78000.0,Blanc,84000.0,Avec kilométrage,1.1,2021.0,Manuelle,Volkswagen,Golf 8,Berline,Essence,6.0
